Checked,helix,beta,c,unkown,error,Protein FDR Confidence,Master,Accession,Description,Exp. q-value,Sum PEP Score,Coverage,# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Modifications,Entrez Gene ID,Ensembl Gene ID,Gene ID,Chromosome,Biological Process,Cellular Component,Molecular Function,Pfam IDs,emPAI,Score Sequest HT,# Peptides Sequest HT
False,,,,,,High,Master Protein,P14625,Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1,0.0,214.635893688147,56.4134495641345,46,60,41,1,803,92.411,4.84,,7184,ENSG00000166598.14,HSP90B1,12,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytosol;endoplasmic reticulum;extracellular;membrane;nucleus;organelle lumen,metal ion binding;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",14.013,189.891362190247,46
False,,,,,,High,Master Protein,P12814,Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,0.0,185.690774022651,65.2466367713004,49,66,32,1,892,102.993,5.41,Acetyl [N-Term],87,ENSG00000072110.13,ACTN1,14,cell differentiation;cell organization and biogenesis;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;organelle lumen,metal ion binding;protein binding;RNA binding,"Pf00036, Pf00307, Pf00435, Pf08726, Pf11971, Pf13405, Pf13499",9.0,179.242282867432,49
False,,,,,,High,Master Protein,P11021,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,0.0,182.574265292885,56.8807339449541,42,55,41,1,654,72.288,5.16,,3309,ENSG00000044574.7,HSPA5,9,cell communication;cell death;cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;endoplasmic reticulum;membrane;mitochondrion;nucleus;organelle lumen,catalytic activity;metal ion binding;nucleotide binding;protein binding,"Pf00012, Pf01968, Pf06723",18.619,176.660862445831,42
False,,,,,,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,0.0,179.039614809829,50.7739938080495,38,56,35,1,646,70.854,5.52,,3312,ENSG00000109971.13,HSPA8,11,cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;endosome;extracellular;membrane;nucleus;organelle lumen;spliceosomal complex,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00012, Pf02463, Pf06723",24.719,183.389748334885,38
False,,,,,,High,Master Protein,P10809,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",0.0,178.252756281273,63.6998254799302,32,47,32,1,573,61.016,5.87,,3329,ENSG00000144381.16,HSPD1,2,cell organization and biogenesis;cell proliferation;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;endosome;membrane;mitochondrion;organelle lumen,catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding,Pf00118,13.678,166.251422166824,32
False,,,,,,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1,0.0,174.168822828321,78.876404494382,30,48,2,1,445,49.799,4.89,,10383,ENSG00000188229.5,TUBB4B,9,cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;nucleus;organelle lumen,catalytic activity;nucleotide binding;protein binding;RNA binding;structural molecule activity,"Pf00091, Pf03953, Pf10644",80.855,159.20892906189,30
False,,,,,,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,0.0,171.599261678796,50.1381215469613,35,52,22,1,724,83.212,5.03,,3326,ENSG00000096384.19,HSP90AB1,6,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;extracellular;membrane;mitochondrion;nucleus;organelle lumen,enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",13.548,154.324401855469,35
False,,,,,,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5,0.0,168.383457301323,51.0928961748634,36,51,25,1,732,84.607,5.02,,3320,ENSG00000080824.18,HSP90AA1,14,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00183, Pf02518, Pf13589",13.678,154.547187447548,36
False,,,,,,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,0.0,167.779144482351,69.0476190476191,27,60,27,1,462,50.109,9.01,,1915,ENSG00000156508.17,EEF1A1,6,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00009, Pf03143, Pf03144",82.176,191.922912120819,27
False,,,,,,High,Master Protein,P00558,Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,0.0,167.391213583427,79.8561151079137,31,47,26,1,417,44.586,8.1,,5230,ENSG00000102144.13,PGK1,X,cell differentiation;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;membrane,catalytic activity;nucleotide binding;protein binding,Pf00162,30.623,156.119002819061,31
False,,,,,,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2,0.0,165.229484898156,75.0,29,48,5,1,444,49.639,4.89,,203068,ENSG00000232575.10; ENSG00000196230.12; ENSG00000227739.10; ENSG00000224156.10; ENSG00000235067.10; ENSG00000229684.10; ENSG00000183311.16; ENSG00000232421.10,TUBB,6; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_APD_CTG1; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_MCF_CTG1; CHR_HSCHR6_MHC_QBL_CTG1; CHR_HSCHR6_MHC_SSTO_CTG1,cell division;cell organization and biogenesis;cellular component movement;defense response;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;extracellular;membrane;nucleus;organelle lumen,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953, Pf10644",73.057,158.754839897156,29
False,,,,,,High,Master Protein,P55072,Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,0.0,156.192939920311,61.5384615384615,40,51,40,1,806,89.266,5.26,,7415,ENSG00000165280.15,VCP,9,cell communication;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;endoplasmic reticulum;extracellular;membrane;nucleus;organelle lumen;proteasome,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding;RNA binding,"Pf00004, Pf00910, Pf01057, Pf01078, Pf02359, Pf02933, Pf05496, Pf05673, Pf06068, Pf07724, Pf07726, Pf07728, Pf09336, Pf13191, Pf13207, Pf13401",8.532,159.301276922226,40
False,,,,,,High,Master Protein,P07237,Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3,0.0,146.438465302437,66.1417322834646,34,41,34,1,508,57.081,4.87,,5034,ENSG00000185624.14,P4HB,17,cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus,endoplasmic reticulum;extracellular;membrane;organelle lumen,catalytic activity;metal ion binding;protein binding;RNA binding,"Pf00085, Pf01216, Pf13098, Pf13848, Pf13899, Pf13905",9.0,127.475950360298,34
False,,,,,,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,0.0,145.165685755374,75.2238805970149,28,44,28,1,335,36.03,8.46,,2597,ENSG00000111640.14,GAPDH,12,cell death;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,catalytic activity;enzyme regulator activity;nucleotide binding;protein binding,"Pf00044, Pf02800",70.969,143.519874811172,28
False,,,,,,High,Master Protein,P68032,"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1",0.0,140.234929810815,46.1538461538462,25,49,8,1,377,41.992,5.39,,70,ENSG00000159251.6,ACTC1,15,cell death;cell organization and biogenesis;cellular component movement;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane,catalytic activity;nucleotide binding;protein binding,Pf00022,59.619,142.570068955421,25
False,,,,,,High,Master Protein,P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2,0.0,132.436701629656,72.2972972972973,25,37,3,1,444,49.554,4.88,,10382,ENSG00000104833.11,TUBB4A,19,cell organization and biogenesis;regulation of biological process,cytoplasm;cytoskeleton;cytosol;nucleus,catalytic activity;metal ion binding;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953, Pf10644",29.079,123.045508146286,25
False,,,,,,High,Master Protein,Q15149,Plectin OS=Homo sapiens GN=PLEC PE=1 SV=3,0.0,122.798343448479,15.9906063193851,41,43,41,1,4684,531.466,5.96,,5339,ENSG00000178209.14,PLEC,8,cell organization and biogenesis,cytoplasm;cytoskeleton;cytosol;membrane,protein binding;RNA binding;structural molecule activity,"Pf00307, Pf00681, Pf03501, Pf07812",0.315,119.376922369003,41
False,,,,,,High,Master Protein,P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2,0.0,117.633110586411,81.5934065934066,27,38,24,1,364,39.395,8.09,,226,ENSG00000149925.17,ALDOA,16,cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;protein binding;RNA binding,Pf00274,39.616,105.153425931931,27
False,,,,,,High,Master Protein,P19338,Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3,0.0,117.385423250341,40.1408450704225,30,40,30,1,710,76.568,4.7,,4691,ENSG00000115053.15,NCL,2,regulation of biological process;response to stimulus,cytoplasm;membrane;nucleus,DNA binding;protein binding;RNA binding,"Pf00076, Pf13893, Pf14259",5.19,113.779654383659,30
False,,,,,,High,Master Protein,P04083,Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2,0.0,116.645767622523,62.1387283236994,26,35,26,1,346,38.69,7.02,,301,ENSG00000135046.13,ANXA1,9,cell differentiation;cell organization and biogenesis;cellular component movement;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytoskeleton;cytosol;endosome;extracellular;membrane;nucleus;vacuole,catalytic activity;DNA binding;enzyme regulator activity;metal ion binding;protein binding;RNA binding;structural molecule activity,Pf00191,40.596,103.957864403725,26
False,,,,,,High,Master Protein,P18669,Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2,0.0,115.174002593194,80.3149606299213,23,32,23,1,254,28.786,7.18,,5223; 643576,ENSG00000171314.8,PGAM1; LOC643576,10; 12,metabolic process;regulation of biological process;transport,cytoplasm;cytosol;extracellular;membrane;organelle lumen,catalytic activity;protein binding,Pf00300,99.0,94.9774279594421,23
False,,,,,,High,Master Protein,P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2,0.0,114.347804772191,55.8073654390935,23,35,20,1,353,37.407,8.95,,3181,ENSG00000122566.20,HNRNPA2B1,7,metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;extracellular;membrane;nucleus;spliceosomal complex,DNA binding;protein binding;RNA binding,"Pf00076, Pf13893, Pf14259",60.585,94.286262512207,23
False,,,,,,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A PE=1 SV=1,0.0,113.094625824174,71.6186252771619,26,38,1,1,451,50.104,5.06,,7846,ENSG00000167552.13,TUBA1A,12,cell division;cell organization and biogenesis;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;endosome;membrane;nucleus,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953",25.102,109.184261083603,26
False,,,,,,High,Master Protein,P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,0.0,109.866500447803,68.9759036144578,22,31,21,1,332,36.665,8.27,,3939,ENSG00000134333.13,LDHA,11,metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytosol;membrane;nucleus,catalytic activity;nucleotide binding;protein binding,"Pf00056, Pf02866",14.849,92.8698363304138,22
False,,,,,,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",0.0,107.658355711048,36.3354037267081,21,27,20,1,644,65.999,8.12,,3848,ENSG00000167768.4,KRT1,12,cell death;defense response;metabolic process;regulation of biological process;response to stimulus;transport,cytoskeleton;cytosol;extracellular;membrane;nucleus,catalytic activity;motor activity;protein binding;receptor activity;structural molecule activity,"Pf00038, Pf01576, Pf05103, Pf05957, Pf12128, Pf13166, Pf13514",4.135,87.1980967521667,21
False,,,,,,High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1,0.0,107.439159895677,52.3595505617978,19,29,2,1,445,49.875,4.89,,7280,ENSG00000137267.5,TUBB2A,6,cell organization and biogenesis,cytoplasm;cytoskeleton;nucleus,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953, Pf10644",12.503,104.612118721008,19
False,,,,,,High,Master Protein,P06576,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",0.0,107.282444189343,64.461247637051,24,32,24,1,529,56.525,5.4,,506,ENSG00000110955.8,ATP5B,12,cell differentiation;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;transport,cell surface;membrane;mitochondrion;nucleus;organelle lumen,catalytic activity;nucleotide binding;protein binding;transporter activity,"Pf00006, Pf00306, Pf02874",9.0,111.056602239609,24
False,,,,,,High,Master Protein,P60174,Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=3,0.0,106.512570359227,73.0769230769231,23,31,23,1,286,30.772,5.92,,7167,ENSG00000111669.14,TPI1,12,development;metabolic process,cytosol;nucleus,catalytic activity;protein binding,Pf00121,36.927,107.460592150688,23
False,,,,,,High,Master Protein,P23528,Cofilin-1 OS=Homo sapiens GN=CFL1 PE=1 SV=3,0.0,103.758721712625,75.3012048192771,20,29,13,1,166,18.491,8.09,,1072,ENSG00000172757.12,CFL1,11,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,protein binding,Pf00241,214.443,94.0821757316589,20
False,,,,,,High,Master Protein,P22314,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,0.0,100.88908500021,31.758034026465,23,28,23,1,1058,117.774,5.76,,7317,ENSG00000130985.16,UBA1,X,metabolic process;response to stimulus,cytoplasm;cytosol;membrane;mitochondrion;nucleus,catalytic activity;nucleotide binding;protein binding;RNA binding,"Pf00899, Pf02134, Pf09358, Pf10585",1.929,93.1421127319336,23
False,,,,,,High,Master Protein,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1,0.0,100.885729137808,70.3786191536748,25,35,2,1,449,49.863,5.1,,84790,ENSG00000167553.15,TUBA1C,12,cell division;cell organization and biogenesis;transport,cytoplasm;cytoskeleton;nucleus,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953",18.573,98.4777212142944,25
False,,,,,,High,Master Protein,P26038,Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,0.0,99.6627649454721,57.0190641247834,29,33,22,1,577,67.778,6.4,,4478,ENSG00000147065.16,MSN,X,cell differentiation;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process;response to stimulus,cell surface;cytoplasm;cytoskeleton;cytosol;membrane;nucleus,protein binding;RNA binding;structural molecule activity,"Pf00373, Pf00769, Pf09379, Pf09380",4.703,96.5577220916748,29
False,,,,,,High,Master Protein,P07355,Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,0.0,96.6826217938386,61.6519174041298,24,32,24,1,339,38.58,7.75,,302,ENSG00000182718.16,ANXA2,15,cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;cytoplasm;cytosol;endoplasmic reticulum;endosome;extracellular;membrane;nucleus;organelle lumen,enzyme regulator activity;metal ion binding;protein binding;RNA binding,Pf00191,20.544,100.879250049591,24
False,,,,,,High,Master Protein,Q00610,Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5,0.0,96.6775072540499,19.4626865671642,25,31,25,1,1675,191.493,5.69,,1213,ENSG00000141367.11,CLTC,17,cell differentiation;cell division;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;endosome;membrane;vacuole,protein binding;RNA binding;structural molecule activity,"Pf00637, Pf01394, Pf04053, Pf09268, Pf13838",1.069,99.8934067487717,25
False,,,,,,High,Master Protein,Q07065,Cytoskeleton-associated protein 4 OS=Homo sapiens GN=CKAP4 PE=1 SV=2,0.0,94.6785035295789,45.3488372093023,25,30,25,1,602,65.983,5.92,,10970,ENSG00000136026.13,CKAP4,12,metabolic process;transport,cytoplasm;cytoskeleton;cytosol;endoplasmic reticulum;membrane;organelle lumen,RNA binding,Pf13166,3.14,94.1029467582703,25
False,,,,,,High,Master Protein,P02545,Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1,0.0,93.2447894268549,42.0180722891566,21,25,21,1,664,74.095,7.02,,4000,ENSG00000160789.19,LMNA,1,cell organization and biogenesis;regulation of biological process;response to stimulus;transport,cytosol;membrane;nucleus,protein binding;structural molecule activity,"Pf00038, Pf00932",2.594,76.3935945034027,21
False,,,,,,High,Master Protein,Q13509,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2,0.0,91.5085855587733,43.1111111111111,14,22,4,1,450,50.4,4.93,,10381,ENSG00000258947.6,TUBB3,16,cell organization and biogenesis;cellular component movement,cytoplasm;cytoskeleton;nucleus,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953, Pf10644",7.185,78.203159570694,14
False,,,,,,High,Master Protein,P30101,Protein disulfide-isomerase A3 OS=Homo sapiens GN=PDIA3 PE=1 SV=4,0.0,88.6793161693265,57.2277227722772,21,28,21,1,505,56.747,6.35,,2923,ENSG00000167004.12,PDIA3,15,cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport,cell surface;endoplasmic reticulum;membrane;nucleus;organelle lumen,catalytic activity;protein binding;RNA binding,"Pf00085, Pf13098, Pf13848, Pf13899, Pf13905",6.055,86.2027049064636,21
False,,,,,,High,Master Protein,P67936,Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3,0.0,88.5911900140988,59.6774193548387,18,26,9,1,248,28.504,4.69,,7171,ENSG00000167460.14,TPM4,19,cell differentiation;cell organization and biogenesis;cellular component movement,cytoplasm;cytoskeleton;cytosol;membrane,metal ion binding;protein binding;structural molecule activity,"Pf00261, Pf12718",16.302,78.1406180858612,18
False,,,,,,High,Master Protein,P62937,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2,0.0,88.0934232263592,83.6363636363636,16,31,16,1,165,18.001,7.81,Acetyl [N-Term],5478,ENSG00000196262.13,PPIA,7,cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytosol;extracellular;membrane;nucleus;organelle lumen,catalytic activity;protein binding;RNA binding,Pf00160,83.834,90.0563623905182,16
False,,,,,,High,Master Protein,P06748,Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2,0.0,86.4510526265246,65.9863945578231,15,26,15,1,294,32.555,4.78,Acetyl [N-Term],4869,ENSG00000181163.13,NPM1,5,cell growth;cell organization and biogenesis;cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,DNA binding;enzyme regulator activity;protein binding;RNA binding,Pf03066,26.826,89.9857976436615,15
False,,,,,,High,Master Protein,P13645,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",0.0,84.9104581069467,38.1849315068493,15,22,15,1,584,58.792,5.21,,3858,ENSG00000186395.7,KRT10,17,cell death;cell differentiation;metabolic process,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,structural molecule activity,"Pf00038, Pf04111",4.623,76.1528422832489,15
False,,,,,,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1,0.0,83.6545913213546,50.2232142857143,18,28,3,1,448,49.892,5.06,,7277,ENSG00000127824.13,TUBA4A,2,cell organization and biogenesis;regulation of biological process;transport,cytoplasm;cytoskeleton;cytosol;extracellular,catalytic activity;nucleotide binding;protein binding;structural molecule activity,"Pf00091, Pf03953",9.0,82.9898748397827,18
False,,,,,,High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens GN=HSPA9 PE=1 SV=2",0.0,82.1109622604277,44.6244477172312,22,28,22,1,679,73.635,6.16,,3313,ENSG00000113013.12,HSPA9,5,cell differentiation;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus,cytoplasm;mitochondrion;nucleus;organelle lumen,nucleotide binding;protein binding;RNA binding,"Pf00012, Pf06723",2.7,96.0060412883759,22
False,,,,,,High,Master Protein,O75369,Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2,0.0,81.0597907964945,20.445810914681,27,28,25,1,2602,277.99,5.73,,2317,ENSG00000136068.14,FLNB,3,cell differentiation;cell organization and biogenesis;development;regulation of biological process;response to stimulus,cytoplasm;cytoskeleton;cytosol;membrane;nucleus,protein binding;RNA binding,"Pf00307, Pf00630",0.468,92.1539881229401,27
